Rk,Player,Twitter
1,Alaa Abdelnaby\abdelal01,alaatweets
2,Kareem Abdul-Jabbar\abdulka01,kaj33
3,Shareef Abdur-Rahim\abdursh01,ShareefAbdur_R
4,Alex Abrines\abrinal01,alexabrines
5,Quincy Acy\acyqu01,QuincyAcy
6,Jaylen Adams\adamsja01,10jadams
7,Jordan Adams\adamsjo01,jordanadams1231
8,Steven Adams\adamsst01,RealStevenAdams
9,Bam Adebayo\adebaba01,Bam1of1
10,Jeff Adrien\adrieje01,Adrien4
11,Maurice Ager\agerma01,moeager
12,Danny Ainge\aingeda01,danielrainge
13,Alexis Ajinca\ajincal01,AjincaAlexis42
14,Furkan Aldemir\aldemfu01,furkanaldemir19
15,Cole Aldrich\aldrico01,colea45
16,LaMarcus Aldridge\aldrila01,aldridge_12
17,Cliff Alexander\alexacl01,CAlexander
18,Bryce Alford\alforbr01,balford20
19,Rawle Alkins\alkinra01,Iam_RawleAlkins
20,Grayson Allen\allengr01,GraysonJAllen
21,Jarrett Allen\allenja01,_bigjayy_
22,Malik Allen\allenma01,THEleekAllen30
23,Ray Allen\allenra02,greenRAYn20
24,Tony Allen\allento01,aa000G9
25,Morris Almond\almonmo01,FreeMoAlmond
26,John Amaechi\amaecjo01,JohnAmaechi
27,Al-Farouq Aminu\aminual01,farouq1
28,Lou Amundson\amundlo01,LouAmundson17
29,Alan Anderson\anderal01,ASqared06
30,C.J. Anderson\andercj01,cjanderson_23
31,Justin Anderson\anderju01,JusAnderson1
32,Kenny Anderson\anderke01,chibbs_1
33,Kyle Anderson\anderky01,KyleAnderson5
34,Braian Angola-Rodas\angolbr01,Angola2411
35,Ike Anigbogu\anigbik01,IkePostrs_
36,Giannis Antetokounmpo\antetgi01,Giannis_An34
37,Kostas Antetokounmpo\antetko01,Kostas_ante13
38,Carmelo Anthony\anthoca01,carmeloanthony
39,Greg Anthony\anthogr01,GregAnthony50
40,OG Anunoby\anunoog01,OAnunoby
41,Robert Archibald\archiro01,RobertArchibald
42,Ryan Arcidiacono\arcidry01,RyArch15
43,Gilbert Arenas\arenagi01,agentzeroshow
44,Trevor Ariza\arizatr01,TrevorAriza
45,B.J. Armstrong\armstbj01,bjarmstrong
46,Darrell Arthur\arthuda01,DarrellArthur00
47,Jamel Artis\artisja01,melartis1
48,Brandon Ashley\ashlebr01,_Bash21
49,Omer Asik\asikom01,AsikOmer
50,Gustavo Ayon\ayongu01,Gustavo_Ayon15
51,Deandre Ayton\aytonde01,DeandreAyton
52,Kelenna Azubuike\azubuke01,KAzubuike7
53,Luke Babbitt\babbilu01,Realbabbitt08
54,Jordan Bachynski\bachyjo01,BLOCKchynski
55,Dwayne Bacon\bacondw01,BaconDwayne1000
56,Marvin Bagley\baglema01,MB3FIVE
57,Ron Baker\bakerro01,RonBaker31
58,Wade Baldwin\baldwwa01,The_Fourth_Wade
59,Renaldo Balkman\balkmre01,R_Balkman32
60,Lonzo Ball\balllo01,ZO2_
61,Leandro Barbosa\barbole01,TheBlurBarbosa
62,J.J. Barea\bareajo01,jjbareapr
63,Andrea Bargnani\bargnan01,AndreaBargnani
64,Harrison Barnes\barneha02,HBarnes
65,Matt Barnes\barnema02,Matt_Barnes22
66,Jordan Barnett\barnejo01,JBounce33
67,Earl Barron\barroea01,earldee
68,Brent Barry\barrybr01,Barryathree
69,Canyon Barry\barryca01,cbarry719
70,Rick Barry\barryri01,Rick24Barry
71,Will Barton\bartowi01,WillTheThrillB5
72,Keita Bates-Diop\bateske01,KDB_33
73,Shane Battier\battish01,ShaneBattier
74,Nicolas Batum\batumni01,nicolas88batum
75,Jerryd Bayless\bayleje01,jerrydbayless
76,Elgin Baylor\bayloel01,elginbaylor
77,Aron Baynes\baynear01,aronbaynes
78,Kent Bazemore\bazemke01,24Bazemore
79,V.J. Beachem\beachvj01,VjBeachem
80,Bradley Beal\bealbr01,RealDealBeal23
81,Malik Beasley\beaslma01,Mbeasy5
82,Michael Beasley\beaslmi01,easyst0
83,Beau Beech\beechbe01,beaubeech02
84,Marco Belinelli\belinma01,marcobelinelli
85,Charlie Bell\bellch01,flintstone14
86,Jordan Bell\belljo01,1jordanbell
87,Troy Bell\belltr01,TroyBellS2P
88,DeAndre' Bembry\bembrde01,fearthefro95
89,Dragan Bender\bendedr01,DBender03
90,Jonathan Bender\bendejo01,jonathanbender9
91,Anthony Bennett\bennean01,AnthonyBennett
92,Keith Benson\bensoke02,RealKITO
93,Joel Berry\berryjo01,JoelBerryII
94,Dairis Bertans\bertada02,DairisBertans
95,Davis Bertans\bertada01,DBertans_42
96,Patrick Beverley\beverpa01,patbev21
97,Justin Bibbs\bibbsju01,JustinBibbs10
98,Chauncey Billups\billuch01,1MrBigShot
99,Khem Birch\birchkh01,Khem_Birch
100,Jabari Bird\birdja01,Jabari_Bird
101,Bismack Biyombo\biyombi01,bismackbiyombo
102,Nemanja Bjelica\bjeline01,NemanjaBjelica
103,Tarik Black\blackta01,TarikBlack25
104,James Blackmon\blackja02,jblackmon2
105,DeJuan Blair\blairde01,DeJuan45
106,Steve Blake\blakest01,SteveBlake5
107,Antonio Blakeney\blakean01,blakeney96
108,Andray Blatche\blatcan01,drayblatche
109,Eric Bledsoe\bledser01,EBled2
110,Jaron Blossomgame\blossja01,JaronBgame
111,Vander Blue\blueva01,veezy_SQ
112,Trevon Bluiett\bluietr01,TrevonBluiett
113,Ryan Boatright\boatrry01,Ryanboatright11
114,Bogdan Bogdanovic\bogdabo01,LeaderOfHorde
115,Bojan Bogdanovic\bogdabo02,44Bojan
116,Muggsy Bogues\boguemu01,MuggsyBogues
117,Andrew Bogut\bogutan01,andrewbogut
118,Jonah Bolden\boldejo01,Jonahbolden43
119,Tim Bond\bondti01,itsbout_TIM
120,Isaac Bonga\bongais01,isaacbonga
121,Matt Bonner\bonnema01,MattBonner_SAS
122,Devin Booker\bookede01,DevinBook
123,Trevor Booker\booketr01,35_Fitz
124,Carlos Boozer\boozeca01,MisterCbooz
125,Chris Bosh\boshch01,chrisbosh
126,Dee Bost\bostde01,1DBost
127,Chris Boucher\bouchch01,chrisboucher
128,Bruce Bowen\bowenbr01,Bowen12
129,Ryan Bowen\bowenry01,rybo40
130,Craig Brackins\brackcr01,Cbrackins_33
131,Avery Bradley\bradlav01,Avery0Bradley
132,Tony Bradley\bradlto01,ToBrad1
133,Taylor Braun\braunta01,taylorbraun2324
134,Corey Brewer\breweco01,TheCoreyBrewer
135,Ronnie Brewer\brewero02,RonnieBrewerJr
136,Primoz Brezec\brezepr01,Primozbrezec
137,Mikal Bridges\bridgmi01,mikal_bridges
138,Miles Bridges\bridgmi02,MilesBridges
139,Amida Brimah\brimaam01,amidabrimah
140,Isaiah Briscoe\briscis01,ZayBriscoe
141,Jon Brockman\brockjo01,MrJonBrockman
142,Ryan Broekhoff\broekry01,RBroekhoff45
143,Aaron Brooks\brookaa01,Thirty2zero
144,Dillon Brooks\brookdi01,dillonbrooks24
145,MarShon Brooks\brookma01,Marshon2
146,Alec Brown\brownal01,AlecBrown21
147,Anthony Brown\brownan02,TwoShotOne
148,Bobby Brown\brownbo02,BBROWNLAU
149,Bruce Brown\brownbr01,BruceBrown11
150,Dee Brown\brownde03,deebrown11
151,Derrick Brown\brownde04,D_Brown4
152,Jabari Brown\brownja01,Bari_BrownIDF
153,Jaylen Brown\brownja02,FCHWPO
154,Lorenzo Brown\brownlo01,Zo_Brown
155,Markel Brown\brownma02,iMarkelBrown22
156,Troy Brown\browntr01,Troy_Brown33
157,Jalen Brunson\brunsja01,jalenbrunson1
158,Kobe Bryant\bryanko01,kobebryant
159,Thomas Bryant\bryanth01,nolimittb31
160,Chase Budinger\budinch01,CBudinger
161,Reggie Bullock\bullore01,ReggieBullock35
162,Trey Burke\burketr01,TreyBurke
163,Alec Burks\burksal01,AlecBurks10
164,Antonio Burks\burksan01,antonioburks
165,Deonte Burton\burtode01,DeonteBurton
166,Deonte Burton\burtode02,DeeBurton30
167,Caron Butler\butleca01,realtuffjuice
168,Jimmy Butler\butleji01,JimmyButler
169,Rasual Butler\butlera01,RasualButler45
170,Dwight Buycks\buyckdw01,BuycksWorld13
171,Bruno Caboclo\cabocbr01,Bruno_Caboclo
172,Michael Cage\cagemi01,Exhoopsmc
173,Nick Calathes\calatni01,Nick_Calathes15
174,Jose Calderon\caldejo01,JmCalderon
175,Kentavious Caldwell-Pope\caldwke01,CaldwellPope
176,Marcus Camby\cambyma01,MarcusCamby23
177,Isaiah Canaan\canaais01,SiP03
178,Clint Capela\capelca01,CapelaClint
179,Derrick Caracter\caracde01,RebuildCaracter
180,Brian Cardinal\cardibr01,BrianCardinal
181,Antoine Carr\carran01,AntoineCarr55
182,Austin Carr\carrau01,MrCavalier34
183,Phillip Carr\carrph01,PhilippeChow_
184,DeMarre Carroll\carrode01,DeMarreCarroll1
185,Matt Carroll\carroma01,matt13carroll
186,Vince Carter\cartevi01,mrvincecarter15
187,Wendell Carter\cartewe01,wendellcarter34
188,Michael Carter-Williams\cartemi01,MCW1
189,Omri Casspi\casspom01,Casspi18
190,Willie Cauley-Stein\caulewi01,THEwillieCS15
191,Troy Caupain\caupatr01,caupain10
192,Tyler Cavanaugh\cavanty01,tycav34
193,Cedric Ceballos\cebalce01,cedceballos
194,Mario Chalmers\chalmma01,mchalmers15
195,Tyson Chandler\chandty01,tysonchandler
196,Wilson Chandler\chandwi01,wilsonchandler
197,Joe Chealey\chealjo01,joe_chealey
198,Josh Childress\childjo01,JChillin
199,Chris Chiozza\chiozch01,Chiozza11
200,Marquese Chriss\chrisma01,quese
201,Doug Christie\chrisdo01,TheDougChristie
202,Dionte Christmas\chrisdi01,Dchristmas22
203,Rakeem Christmas\chrisra01,R_Xmas25
204,Semaj Christon\chrisse01,SemajChriston
205,Keith Clanton\clantke01,Im_Keithclanton
206,Gary Clark\clarkga01,Gary11_Clark
207,Ian Clark\clarkia01,IanClark
208,Jordan Clarkson\clarkjo01,JordanClarksons
209,Gian Clavell\clavegi01,clavelito04
210,Victor Claver\clavevi01,Victor_Claver
211,Speedy Claxton\claxtsp01,speeddeamon
212,Mateen Cleaves\cleavma01,Mateen_Cleaves
213,Antonius Cleveland\clevean01,ac_uno1
214,Jeff Coby\cobyje01,JC40A3
215,Derrick Coleman\colemde01,44TheLegend
216,Jarron Collins\collija03,jarronctwin
217,John Collins\collijo01,jcollins20_
218,Sherron Collins\collish01,SHERRONCOLLINS4
219,Zach Collins\colliza01,zcollins_33
220,Kyle Collinsworth\colliky01,bigrussia5
221,Darren Collison\collida01,Darren_Collison
222,Nick Collison\collini01,nickcollison4
223,Bonzie Colson\colsobo01,Bacolson35
224,Mike Conley\conlemi01,mconley11
225,Pat Connaughton\connapa01,PlanetPat5
226,Will Conroy\conrowi01,CHILLCONROY
227,Daequan Cook\cookda02,DC4Three
228,Quinn Cook\cookqu01,QCook323
229,Charles Cooke\cookech01,c4_cooke
230,Jack Cooley\cooleja01,JackCooligan45
231,Michael Cooper\coopemi01,ShowtimeCooper
232,Isaia Cordinier\cordiis01,izaycordinier
233,DeMarcus Cousins\couside01,boogiecousins
234,Robert Covington\covinro01,Holla_At_Rob33
235,Allen Crabbe\crabbal01,allencrabbe
236,Aaron Craft\craftaa01,ACraft4
237,Torrey Craig\craigto01,TCraig_23
238,Chris Crawford\crawfch02,clutchcrawford3
239,Drew Crawford\crawfan01,TheRealDrewski1
240,Jamal Crawford\crawfja01,JCrossover
241,Joe Crawford\crawfjo01,JoeCrawford5
242,Jordan Crawford\crawfjo02,jcraw55
243,Austin Croshere\croshau01,AustinCroshere
244,John Crotty\crottjo01,JohnCrottyHEAT
245,Jae Crowder\crowdja01,CJC9BOSS
246,Dante Cunningham\cunnida01,DlamarC33
247,Jared Cunningham\cunnija01,J1Flight
248,Eddy Curry\curryed01,Eddy_Curry
249,Seth Curry\curryse01,sdotcurry
250,Stephen Curry\curryst01,StephenCurry30
251,Nemanja Dangubic\dangune01,DangubicNemanja
252,DeAndre Daniels\daniede01,D_Daniels2
253,Marquis Daniels\daniema01,Marquis_Daniels
254,Troy Daniels\danietr01,troydaniels
255,Luigi Datome\datomlu01,GigiDatome
256,Anthony Davis\davisan02,AntDavis23
257,Baron Davis\davisba01,BaronDavis
258,Deyonta Davis\davisde01,deyontadavis23
259,Ed Davis\davised01,eddavisXVII
260,Glen Davis\davisgl01,iambigbaby11
261,Andre Dawkins\dawkian01,dre_dawkins
262,Austin Daye\dayeau01,Adaye5
263,Dewayne Dedmon\dedmode01,d_dedmon3
264,Sam Dekker\dekkesa01,dekker
265,Vinny Del Negro\delnevi01,VinnyDHoops
266,Malcolm Delaney\delanma01,foe23
267,Carlos Delfino\delfica01,cabezadelfino
268,Angel Delgado\delgaan01,AngelDelgado
269,Matthew Dellavedova\dellama01,matthewdelly
270,Luol Deng\denglu01,LuolDeng9
271,Marcus Denmon\denmoma01,MizzouMonster12
272,Stephen Dennis\dennist01,SDennis14
273,Demetrius Denzel-Dyson\denzede01,MRDYSON1022
274,DeMar DeRozan\derozde01,DeMar_DeRozan
275,Cheick Diallo\diallch01,cheick_diallo13
276,Hamidou Diallo\diallha01,hamidoudiallo
277,Boris Diaw\diawbo01,theborisdiaw
278,Gorgui Dieng\dienggo01,GorguiDieng
279,Dani Diez de la Faya\diezda01,danidiez11
280,Spencer Dinwiddie\dinwisp01,SDinwiddie_25
281,DeSagana Diop\diopde01,sagana7
282,Vlade Divac\divacvl01,bgoodvlade
283,Daniel Dixon\dixonda01,Mr_HeatCheck
284,Luka Doncic\doncilu01,luka7doncic
285,Tyler Dorsey\dorsety01,TDORSEY_1
286,Damyean Dotson\dotsoda01,staytuned21
287,Zabian Dowdell\dowdeza01,zayrd1
288,Milton Doyle\doylemi01,MDLU35
289,PJ Dozier\doziepj01,Dozier_Kid
290,Goran Dragic\dragigo01,Goran_Dragic
291,Andre Drummond\drumman01,AndreDrummond
292,Jared Dudley\dudleja01,JaredDudley619
293,Kris Dunn\dunnkr01,KrisDunn3
294,Ronald Dupree\duprero01,RDupree12
295,Kevin Durant\duranke01,KDTrey5
296,Trevon Duval\duvaltr01,DatGuy_Trey
297,Cleanthony Early\earlycl01,Clearly_BallLyf
298,Mark Eaton\eatonma01,markeaton7ft4
299,Devin Ebanks\ebankde01,DevinEbanks3
300,Jarell Eddie\eddieja01,JarellEddie
301,Melvin Ejim\ejimme01,MelvinEjim
302,Henry Ellenson\ellenhe01,HenryEllenson13
303,Wayne Ellington\ellinwa01,WayneElli22
304,Sean Elliott\elliose01,seanelliott_32
305,Joel Embiid\embiijo01,JoelEmbiid
306,Alex English\englial01,AlexEnglish_2
307,Kim English\engliki01,Englishscope24
308,James Ennis\ennisja01,JamesDa_Truth
309,Tyler Ennis\ennisty01,TylerEnnis
310,Julius Erving\ervinju01,JuliusErving
